term	year	subject	label	number	description	prereq	hours	geneds
Fall	2023	ABE	Bioprocessing Biomass for Fuel	488	Engineering and scientific principles governing bioprocessing of biomass for production of ethanol and other fermentation products. Process unit operations; conventional and alternative feed stock materials; recovery of value-added coproducts and other variables involved in producing fuel ethanol; process simulation; economic analysis. 4 undergraduate hours. 4 graduate hours. 	ME 200 or ChBE 321. Restricted to students with junior or senior class standing.	4 hours	
Fall	2023	ABE	Independent Study	497	Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. 	Consent of instructor.	1 TO 4 hours	
Fall	2023	ABE	Special Topics	498	Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.		0 TO 4 hours	
Fall	2023	ABE	Graduate Research I	501	Basic research orientation, research methods, presentation skills, laboratory practices, case studies, and professional and ethical conduct.		1 hours	
Fall	2023	ABE	Advanced Contextual Design	532	Contextual Engineering addresses the loss of infrastructure usability, sustainability, and resiliency in non-industrialized societal settings that often results from disconnects and differing objectives among stakeholders. Using case studies and technical infrastructure designs, the impacts of globalization, Western attitudes, power dynamics, and place-based knowledge are explored and applied to infrastructure design and implementation processes, particularly when serving rural societies. Application of these concepts will then be conducted for specific design efforts associated with the student's own engineering discipline. 4 graduate hours. No professional credit.		4 hours	
Fall	2023	ABE	Graduate Seminar	594	Presentations of thesis research by graduate students; other presentations on teaching or current research issues related to agricultural and biological engineering. Approved for S/U grading only. May be repeated up to a maximum of 6 times.		0 hours	
Fall	2023	ABE	Independent Study	597	Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. 	Consent of instructor.	1 TO 4 hours	
Fall	2023	ABE	Thesis Research	599	Approved for S/U grading only. May be repeated.		0 TO 16 hours	
Fall	2023	ACCY	Undergraduate Open Seminar	199	May be repeated.		1 TO 5 hours	
Fall	2023	ACCY	Fundamentals of Accounting	200	Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. 	Sophomore standing.	3 hours	
Fall	2023	ACCY	Accounting and Accountancy I	201	Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management, with an emphasis on analysis to facilitate and guide management decision making, planning and control. Credit is not given for both ACCY 201 and ACCY 200. 	Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.	3 hours	
Fall	2023	ACCY	Accounting and Accountancy II	202	Further develops the student's understanding of accrual accounting, the goals and objectives of financial reporting, the information needs of end users, the qualities of useful information, as well as the financial statements and financial statement elements. Students will analyze and record progressively more complex transactions, continuing to take the economic event from inception to reporting. Recurring themes and foundational concepts are emphasized such that students can develop intuition for accounting measurement and reporting. Credit is not given for both ACCY 202 and ACCY 200. 	ACCY 201 or equivalent.	3 hours	
Fall	2023	ACCY	Prof Internship in Accountancy	290	Formalized learning experience in combination with practice of accounting while engaged in an internship with a public accounting firm, business, or other off-campus organization; prior approval of learning plan and a summary report of learning experience are required. Approved for Letter and S/U grading. May be repeated in subsequent terms to a maximum of 3 hours. 	Open to Department of Accountancy students; completion of ACCY 201 and ACCY 202 (or equivalent); and consent of department.	0 TO 3 hours	
Fall	2023	ACCY	Atg Measurement & Disclosure	301	Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. 	ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors.	3 hours	
Fall	2023	ACCY	Decision Making for Atg	302	We will develop and apply a framework to better understand the specific types of accounting information managers need to make key operational and strategic decisions. Utilizing business case studies and real-world projects, the course will also develop skills in gathering, visualizing, and statistically analyzing this accounting information to inform these important decisions. 	ACCY 202 or equivalent; BADM 210 or concurrent enrollment or equivalent; and recommend concurrent enrollment in ACCY 301 for Accountancy majors.	3 hours	
Fall	2023	ACCY	Accounting Institutions and Regulation	303	Measurement and reporting of firm's liabilities and shareholders' equity. Topics include current liabilities, contingencies, subsequent events, bonds, leases, pensions, equity issuance and repurchase, dividends, and equity-based compensation. 	ACCY 301 and FIN 221.	3 hours	
Fall	2023	ACCY	Accounting Control Systems	304	Explores an important framework that highlights the vital roles accounting control systems play in shaping and implementing organizational strategy. Components of this framework include internal controls, organizational missions and values, codes of ethics, performance measurement, evaluation, and reward systems. Case studies, class discussions, group exercises, and field research projects emphasize critical reasoning, data analytics, teamwork, and written and oral communication. 	ACCY 301 and ACCY 302.	3 hours	
Fall	2023	ACCY	Principles of Taxation	312	Introduction to the United States federal income tax system with an emphasis on income tax determination and the taxation of property transactions. Topics include the tax environment, tax provisions relevant to businesses, employees and business owners. Projects facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. 	ACCY 202 or equivalent.	3 hours	
Fall	2023	ACCY	Principles of Public Policy	321	Same as ACE 321, BADM 303, and PS 321. See PS 321.		3 hours	
Fall	2023	ACCY	Practical Problems in Atg	398	Course covers the professional standards relating to corporate financial reporting, taxation, auditing and public sector reporting. Serves as a review course for the Uniform Certified Public Accountant (CPA) Examination. Approved for Letter and S/U grading. May be repeated up to 16 hours in separate terms, if topics vary. Credit is not given towards degree requirements. 	Consent of the Department. Intended for students enrolled in the BS in Accountancy, MAS, and MSA programs. Students from other UIUC programs must demonstrate that they have taken courses in financial accounting (beyond introductory level), cost/managerial accounting (beyond introductory level), auditing, and taxation.	0 TO 16 hours	
Fall	2023	ACCY	Assurance and Attestation	405	Conceptual introduction to diverse means by which assurers improve the quality of information used by third parties for contracting purposes, with emphases on the credibility- and relevance-enhancement properties of assurers' services. Topics include the economics of assurance and attestation, and concepts including independence, risk, evidence, and control. Projects facilitate self-discovery of knowledge and development of professional skills and attitudes. 3 undergraduate hours. 3 graduate hours. 	ACCY 304 or consent of department.	3 hours	
Fall	2023	ACCY	Advanced Financial Reporting	410	Current authoritative accounting standards and applications to accounting practice. Topics do not represent the full range of financial reporting issues, but are selected based on relevance of the underlying business transaction, complexity of the topic, consistency of applicable standard with underlying reporting concepts, and transferability of the standard to other accounting issues. 3 undergraduate hours. 3 or 4 graduate hours. Credit is not given toward graduation for both ACCY 410 and ACCY 506 or ACCY 532. 	ACCY 303 or consent of department.	3 OR 4 hours	
Fall	2023	ACCY	Advanced Income Tax Problems	451	An introduction to U.S. federal taxation of business entities including taxable corporations and flow through entities (partnerships, Subchapter S corporations, and limited liability companies). Practical problems facilitate self-discovery of technical tax knowledge and the development of data analysis skills. 3 undergraduate hours. 3 or 4 graduate hours. 	Senior standing and ACCY 312.	3 OR 4 hours	
Fall	2023	ACCY	Senior Research	499	Research and readings course for students majoring in accountancy. May be taken by students in the college honors program in partial fulfillment of the honors requirements. 2 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. 	Cumulative grade-point average of 3.0., honors in the junior year, or consent of department; senior standing.	2 TO 4 hours	
Fall	2023	ACCY	Accounting Measurement, Reporting, and Control	500	A managerial perspective of the nature and role of accounting in organizational measurement, reporting and control processes. 2 or 4 graduate hours. No professional credit. 	Enrollment in a non-accountancy masters program in business or consent of department.	2 OR 4 hours	
Fall	2023	ACCY	Accounting Analysis I	501	Addresses the conceptual framework and financial statements--balance sheet, income statement and the statement of cash flows. It also provides in-depth analysis of accounting issues related to the measurement, recognition and disclosure of current and non-current assets, and revenue recognition. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). 	Enrollment in graduate degree program or consent of department.	2 OR 4 hours	
Fall	2023	ACCY	Accounting Analysis II	502	Measurement and reporting of firm's liabilities and shareholders' equity. Topics include contingencies, subsequent events, bonds, leases, deferred taxes, pensions, equity transactions, and earning per share. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). 	ACCY 501 or equivalent; enrollment in graduate degree program or consent of department.	2 OR 4 hours	
Fall	2023	ACCY	Managerial Accounting	503	Introduction to management accounting principles, as used to facilitate and align internal decisions made by managers and employees. Topics include analytical tools and techniques to address common business problems, cost information systems, budgeting, and strategic performance measurement systems. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). 	Credit or concurrent registration in ACCY 501 or equivalent; enrollment in graduate degree program or consent of department.	2 OR 4 hours	
Fall	2023	ACCY	Auditing	504	Introduction to conceptual and applied material in the field of auditing. Emphasizes the audit process, reporting, and professional responsibilities. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). 	Credit or concurrent registration in ACCY 502, or equivalent; enrollment in graduate degree program or consent of department.	2 OR 4 hours	
Fall	2023	ACCY	Federal Taxation	505	Introduction to historical and conceptual as well as applied material in the accounting area of federal taxation; emphasizes the provisions of the tax law relevant to accounting measurement methods. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Credit is not given for both ACCY 505 and ACCY 312. 	Enrollment in graduate degree program or consent of department.	2 OR 4 hours	
Fall	2023	ACCY	Advanced Topics in Accounting	506	Covers current authoritative accounting standards and applications to accounting practice. Topics include accounting for business combinations, the preparation of consolidated financial statements, and other advanced financial reporting topics. 4 graduate hours. No professional credit. Credit is not given toward graduation for both ACCY 506 and ACCY 410 or ACCY 532. 	ACCY 501, and credit or concurrent enrollment in ACCY 502.	4 hours	
Fall	2023	ACCY	Financial Reporting Standards	510	Stakeholders' needs for reliable and relevant information about the performance of firms, as well as managers; economic self-interests, influence managers' selection of accounting policies and financial reporting methods. This course selectively surveys both academic research and professional standards to focus on the measurement, classification and disclosure of financial transactions. Cases, class discussion and research projects emphasize independent thinking, group processes, and communication. 4 graduate hours. No professional credit. 	ACCY 410 and enrollment in the BS/MAS in Accountancy program or consent of department.	4 hours	
Fall	2023	ACCY	Data Analytics for Management Accounting	512	Data analytics incorporated into management decision making, including planning, cost management, and management control system design. Focuses on developing your skills of gathering and analyzing data for internal decision making purposes. 4 graduate hours. No professional credit. 	Enrollment in graduate accounting degree program or consent of department.	4 hours	
Fall	2023	ACCY	Auditing & Assurance Standards	515	Role of professional and ethical standards in the conduct of auditing and assurance services and the role of auditing and assurance services in corporate governance and capital markets. This course selectively surveys both academic and professional literature to focus on the conduct of auditing and assurance services. Cases, class discussion, group projects, and data analytics using Tableau emphasize the importance of critical thinking, group processes, and communication for professional accounting practice. Real-world scenarios assist in implementing auditing standards. 4 graduate hours. No professional credit. 	ACCY 405 and enrollment in the BS/MS in Accountancy program or consent of department.	4 hours	
Fall	2023	ACCY	Financial Statement Analysis and Valuation	517	Examines the tools and techniques of financial statement analysis and company valuation from the perspective of investors and creditors; emphasizes theoretical and empirical properties of financial ratios as well as valuation methods used in practice. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours, if topics vary for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). 	ACCY 410 or concurrent enrollment; or ACCY 500 or equivalent; or ACCY 502 or equivalent; and enrollment in graduate degree program or consent of department.	2 OR 4 hours	
Fall	2023	ACCY	Financial Statement Fraud	518	Introduction to fraud examination with an emphasis on financial statement fraud. The course provides a comprehensive introduction to fraud examination. The topics addressed in the course include the unique characteristics of fraud examinations and a comparison to financial statement audits, the characteristics that should be possessed by fraud examiners, an overview of the fraud examination process, the nature and extent of fraud, an introduction to the taxonomy of financial statement frauds, techniques for evidence collection including interview techniques, Benford's law, and the development of fraud reports. 4 graduate hours. No professional credit. 	Enrollment in graduate accounting degree program or consent of the department. This class is restricted to MAS and MSA students: Accountancy-UIUC.	4 hours	
Fall	2023	ACCY	Financial Statement Analysis for MBAs	531	Gives professionals exposure to the knowledge and skills necessary to analyze, interpret, understand, and use financial information to make informed decisions. Students will use a variety of tools to break apart financial reports into meaningful units for analysis, to forecast financial statements, and to value a business entity. Content will be discussed from the perspective of investors, creditors, and other users of financial statements. 4 graduate hours. No professional credit. 	ACCY 500 or equivalent, and enrollment in graduate degree program or consent of department. For online Master of Business Administration (iMBA) students only.	4 hours	
Fall	2023	ACCY	Accounting for Mergers & Acquisitions and Other Complex Transactions	532	Focuses on the financial accounting behind the deal structures and transactions that shape the design of complex organizations. To this end, this course will examine the accounting, economic, and regulatory aspects of a variety of different transaction types, including but not limited to M&A transactions. 4 graduate hours. No professional credit. Credit is not given toward graduation for both ACCY 532 and ACCY 410 or ACCY 506. 	Requires that students have a grasp of core accounting principles and have a basic knowledge of concepts in finance (time value of money, etc.). It is recommended that students complete ACCY 500 and FIN 570 before enrolling in this course.	4 hours	
Fall	2023	ACCY	Corporate Income Taxation	551	Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving corporations and their shareholders; coverage includes formations, operations, distributions, liquidations, reorganizations, and affiliations. 4 graduate hours. No professional credit. 	ACCY 451, credit or concurrent enrollment in ACCY 556, or equivalent or consent of department.	4 hours	
Fall	2023	ACCY	Partnership Income Taxation	552	Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving partnerships and their partners, including Subchapter S corporations and their shareholders. 4 graduate hours. No professional credit. 	ACCY 451, credit or concurrent enrollment in ACCY 556, or equivalent or consent of department.	4 hours	
Fall	2023	ACCY	Tax Research	556	Provides the student with a working knowledge of tax research methodology utilized by accountants in public practice. Aims to develop the student's capacity for either solving or defending his/her position with respect to a particular tax issue. 1 to 4 graduate hours. No professional credit. May be repeated with consent of the department. 	Credit or concurrent enrollment in ACCY 451, or equivalent or consent of department.	1 TO 4 hours	
Fall	2023	ACCY	Data Driven Decisions in Accounting	569	This course prepares accounting students to use analytic software to explore, visualize, and statistically analyze accounting data. 2 graduate hours. No professional credit.		2 hours	
Fall	2023	ACCY	Data Analytics Foundations for Accountancy	570	Concepts and foundations underlying data analytics for accounting. Provides fundamental knowledge of how to acquire, organize, synthesize and analyze (possibly large) volumes of data to address questions and problems. After completing this course, students should (1) have a foundational understanding of the techniques underlying data analytics, (2) recognize scenarios and identify appropriate tools for various types of data analysis and (3) use Python and Tableau to perform data analysis. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). 	Enrollment in graduate accounting program or consent of the department.	2 or 4 hours	
Fall	2023	ACCY	Risk Management and Innovation	574	Decision making and analytic approaches to help organizations navigate disruptive changes in practices, technology, regulation, and culture to serve stakeholders (customers, employees, investors, the public). Course content focuses on identifying and quantifying risks, and balancing between achieving consistent, measurable outcomes and delivering stakeholder-driven objectives. Cases and experiential learning will emphasize developing tools to translate data into insights, tie these insights into managing stakeholder interests, and communicating these insights to decision makers. 4 graduate hours. No professional credit. 	Enrollment in MAS or MSA program.	4 hours	
Fall	2023	ACCY	Data Analytics Applications in Accountancy	575	Develops knowledge regarding the role, methods, and implications of business and data analytics in accounting. Building on prior coursework on the fundamentals of statistical analysis and business/data analytics, this course provides the opportunity to apply related theoretical and practical principles to a variety of accounting scenarios, including audit, tax, fraud identification and detection, financial reporting, and managerial accounting. 4 graduate hours. No professional credit. 	ACCY 570.	4 hours	
Fall	2023	ACCY	Accounting Analytics Applications	578	Develops students’ knowledge regarding the role, methods, and implications of business and data analytics in accounting via real-world applications of fundamental and advanced analytics principles. Application opportunities span multiple areas of accounting, including audit, fraud identification and detection, financial accounting, and managerial accounting. After engaging in this course, students should (1) have a foundational understanding of the role of business / data analytics in accounting and (2) be able to apply this knowledge to real-world clients, business decisions, etc. 1 graduate hour. No professional credit. May be repeated in the same or separate semesters to a maximum of 4 hours. 	Some sections require the completion of ACCY 576 (or equivalent), and are denoted as requiring this prerequisite.	1 hours	
Fall	2023	ACCY	Adv Prof Internship in ACCY	590	A formalized learning experience in combination with practice of accounting while engaged in an internship with a public accounting firm, business, or other off-campus organization; prior approval of learning plan and a summary report of learning experience required. Approved for letter and S/U grading. May be repeated to a maximum of 4 hours. 	Open only to accountancy majors enrolled in the department's integrated bachelor/master program or students with graduate standing in accountancy; completion of 300-level accountancy courses appropriate to internship learning plan; and consent of department.	0 TO 4 hours	
Fall	2023	ACCY	Introduction to Accounting Research	592	Comparative study of alternative methodologies and conceptual frameworks and their application to selected current research issues central to the development of accounting thought, both theoretical and empirical. 4 graduate hours. No professional credit. 	Courses in behavioral science, mathematics, and economics; or equivalent background and admission to the accountancy Ph.D. program; or consent of department.	4 hours	
Fall	2023	ACCY	Special Research Problems	593	Individual investigations or research projects selected by the students, subject to approval by the graduate adviser and the executive officer of the Department. May be repeated in the same or separate terms. 	Enrollment in graduate accounting degree program or consent of department.	1 TO 8 hours	
Fall	2023	ACCY	Thesis Research	599	Individual direction and guidance in writing theses; seminar discussion of progress made. Approved for S/U grading only. May be repeated.		0 TO 16 hours	
Fall	2023	ACE	Introduction to Applied Microeconomics	100	Provides students an introduction to microeconomics by examining such topics as: individual and household decision-making regarding how to spend income and how many hours to work; decision-making by firms about production quantities, how many workers to hire, and what price to charge to maximize profits; the well-being of consumers in competitive markets compared to oligopolies and monopolies; and the role of government when markets fail (e.g., environmental, anti-trust, labor market issues, etc.). Credit is not given toward graduation for ACE 100 if credit for ECON 102 has been earned.		4 hours	Social & Beh Sci - Soc Sci
Fall	2023	ACE	Microcomputer Applications	161	Instruction and practice in solving data-related problems with microcomputers and general purpose software packages.		3 hours	
Fall	2023	ACE	Undergraduate Open Seminar	199	Experimental course on a special topic in agricultural and consumer economics. Topic may not be repeated except in accordance with the Code. Approved for Letter and S/U grading. May be repeated if topics vary, up to 5 hours in the same semester, to a maximum of 12 hours.		1 to 5 hours	
Fall	2023	ACE	Introduction to Public Policy and Law	203	Introduces students to public policy and law through federal legislation addressing agriculture, food, natural resources and rural economic development. Also introduces students to basic legal issues regarding judicial review of statutes, statutory interpretation and the Constitutional limits on Congressional powers. In addition to lectures, students will also participate in simulated legislative drafting efforts through assigned historic roles of committee members to write legislative proposals, debate and amendments.		3 hours	
Fall	2023	ACE	Environmental Economics	210	Applies economic tools to analyze environmental problems and public policy formation. We will study human behavior to understand why environmental problems occur and our choice of policy tools to address problems. We will explore and critique current environmental policies in the U.S. and globally in a rigorous and constructive manner and the role of private-sector agents in solving environmental problems. Through this course, you will build your capacity for critical thinking and problem-solving. Same as ECON 210, ENVS 210, NRES 210, and UP 210.		3 hours	Social & Beh Sci - Soc Sci
Fall	2023	ACE	Introduction to Sales: Principles and Strategies	220	Prepares students for a variety of professional careers in business, marketing, and sales. Explores the human elements of business and introduces students to professional selling, marketing, sales strategies, human psychology, and communication of value while exploring tips & tricks about relationship selling from professionals working in the field. Students will be expected to participate in class discussions and complete exercises that use “real-world” examples in selling. Credit is not given toward graduation for ACE 220 if credit for ACE 199 SPS has been earned.		3 hours	
Fall	2023	ACE	Agricultural Marketing	222	Examines factors affecting the size of the market for agricultural products and the scope of marketing activities; functions and services performed; pricing agricultural products, including the nature and causes of price fluctuations; and costs of marketing and efforts to reduce costs and improve the marketing system.		3 hours	
Fall	2023	ACE	Personal Financial Planning	240	Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning.		3 hours	
Fall	2023	ACE	The World Food Economy	251	Examination of global food production, consumption, and trade; problems of hunger and population; the role of agricultural development, trade, and aid in relieving hunger. 	ACE 100 or ECON 102 or consent of instructor.	3 hours	Social & Beh Sci - Soc Sci,Cultural Studies - Non-West
