term	year	subject	label	number	description	prereq	hours	geneds
Spring	2024	ABE	Undergraduate Open Seminar	199	May be repeated to a maximum of 12 hours.		1 TO 5 hours	
Spring	2024	ABE	ABE Principles: Bioenvironment	225	Principles of environmental control for biological structures: psychrometrics; mass and heat transfer through buildings; ventilation requirements. 	One of MATH 220, MATH 221, MATH 234.	2 hours	
Spring	2024	ABE	ABE Principles: Bioprocessing	226	Principles of bioprocess engineering applied to food and agricultural products: material balances; fluid flow; heat and mass transfers; drying; evaporation; fermentation; distillation; process simulation. 	One of MATH 220, MATH 221, MATH 234.	2 hours	
Spring	2024	ABE	Context in International Interventions	232	This multi-disciplinary course will examine a new approach to infrastructure engineering for alternately developed societies that seeks to counteract the disconnects and differing objectives among project stakeholders that result in lack of infrastructure sustainability and resiliency. Using a case study from Western Africa, the course will consider the impact of globalization, the attitudes of industrialized societies, and the role of place-based knowledge in designing and implementing infrastructure interventions for rural societies. Same as AFST 233.		3 hours	Social & Beh Sci - Soc Sci,Cultural Studies - Non-West
Spring	2024	ABE	Transport Processes in ABE	341	Principles of transport processes involving momentum, heat, and mass as applied to biological systems in agriculture, food, energy, and the environment. Credit is not given for both ABE 341 and CHBE 421. 	ABE 223, ABE 224, ABE 225, ABE 226, and PHYS 213.	3 hours	
Spring	2024	ABE	Functional Analysis and Design of Agricultural Machine Systems	361	Design and development concepts of agricultural machines; analysis and synthesis of tillage, planting, harvesting, chemical application, material handling mechanisms, and precision farming tools. 	TAM 212.	3 hours	
Spring	2024	ABE	Independent Study	397	Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. 	Consent of instructor.	1 TO 4 hours	
Spring	2024	ABE	Engrg Measurement Systems	425	Principles of instrumentation systems, including sensing, signal conditioning, computerized data acquisition, test design, data analysis and synthesis. Additional fees may apply. See Class Schedule. 4 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 425 and ME 360. 	ECE 205.	4 hours	
Spring	2024	ABE	Engineering for Disaster Resilience	452	A project-based experience designed to engage students in development of resilient food, energy, and water supply chains designs for disaster-prone regions. Students will investigate background factors that provide context for specific disaster-prone regions and viable design solutions. Students will quantify expected engineering reliability to potential solutions. Students will work with local communities, aid organizations, and peer institutions when identifying resilient designs, eventually seeking pathways to implement solutions with partner communities. 3 undergraduate hours. 4 graduate hours. May be repeated one time by undergraduate students if the term project differs from previous term, up to total credit of 6 hr for undergraduate students.		3 OR 4 hours	
Spring	2024	ABE	Environmental Soil Physics	454	Provides the theoretical basis for understanding and quantifying the physical, hydrological, geotechnical, and thermal properties of soil in relation to environmental processes. Topics include general soil properties as a porous media, particle size, soil structure and aggregation, water retention and potential, flow in saturated soil, flow in an unsaturated soil, soil temperature and heat flow, soil mechanics, infiltration, and soil-plant-water relations. 3 undergraduate hours. 3 graduate hours. 	TAM 335 or NRES 201 or consent of instructor.	3 hours	
Spring	2024	ABE	Land & Water Resources Engrg	456	Hydrology, hydraulics, design, construction and cost estimating of structures for the conservation and quality control of soil and water resources; relationship of topography, soils, crops, climate, and cultural practices in conservation and quality control of soil and water for agriculture. 3 undergraduate hours. 3 or 4 graduate hours. 	Credit or concurrent registration in TAM 335.	3 OR 4 hours	
Spring	2024	ABE	Capstone Design Experience	469	Design projects which utilize principles of design, engineering analysis and functional operation of engineering systems. Projects originate from industry, nonprofit entities and federal agencies. Design teams develop concepts, evaluate alternatives, model and analyze solutions, and build and test a final product. Emphases on communication skills, technical writing, and interaction with industry representatives. 4 undergraduate hours. No graduate credit. 	Current senior standing in an engineering major. Restricted to undergraduate students.	4 hours	Advanced Composition
Spring	2024	ABE	Engineering Properties of Food Materials	483	Physical properties of foods and biological materials; properties relating to equipment design and the sensing and control of food processes; thermal, electromagnetic radiation, rheological, and other mechanical properties. 3 undergraduate hours. 3 graduate hours. 	Senior status in engineering or consent of instructor.	3 hours	
Spring	2024	ABE	Independent Study	497	Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. 	Consent of instructor.	1 TO 4 hours	
Spring	2024	ABE	Special Topics	498	Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.		0 TO 4 hours	
Spring	2024	ABE	Advanced Contextual Design	532	Contextual Engineering addresses the loss of infrastructure usability, sustainability, and resiliency in non-industrialized societal settings that often results from disconnects and differing objectives among stakeholders. Using case studies and technical infrastructure designs, the impacts of globalization, Western attitudes, power dynamics, and place-based knowledge are explored and applied to infrastructure design and implementation processes, particularly when serving rural societies. Application of these concepts will then be conducted for specific design efforts associated with the student's own engineering discipline. 4 graduate hours. No professional credit.		4 hours	
Spring	2024	ABE	Graduate Seminar	594	Presentations of thesis research by graduate students; other presentations on teaching or current research issues related to agricultural and biological engineering. Approved for S/U grading only. May be repeated up to a maximum of 6 times.		0 hours	
Spring	2024	ABE	Independent Study	597	Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. 	Consent of instructor.	1 TO 4 hours	
Spring	2024	ABE	Thesis Research	599	Approved for S/U grading only. May be repeated.		0 TO 16 hours	
Spring	2024	ACCY	Undergraduate Open Seminar	199	May be repeated.		1 TO 5 hours	
Spring	2024	ACCY	Fundamentals of Accounting	200	Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. 	Sophomore standing.	3 hours	
Spring	2024	ACCY	Accounting and Accountancy I	201	Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management, with an emphasis on analysis to facilitate and guide management decision making, planning and control. Credit is not given for both ACCY 201 and ACCY 200. 	Prior to enrollment in ACCY 201, students must: 1) have completed either ECON 102 or ECON 103; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course.	3 hours	
Spring	2024	ACCY	Accounting and Accountancy II	202	Further develops the student's understanding of accrual accounting, the goals and objectives of financial reporting, the information needs of end users, the qualities of useful information, as well as the financial statements and financial statement elements. Students will analyze and record progressively more complex transactions, continuing to take the economic event from inception to reporting. Recurring themes and foundational concepts are emphasized such that students can develop intuition for accounting measurement and reporting. Credit is not given for both ACCY 202 and ACCY 200. 	ACCY 201 or equivalent.	3 hours	
Spring	2024	ACCY	Prof Internship in Accountancy	290	Formalized learning experience in combination with practice of accounting while engaged in an internship with a public accounting firm, business, or other off-campus organization; prior approval of learning plan and a summary report of learning experience are required. Approved for Letter and S/U grading. May be repeated in subsequent terms to a maximum of 3 hours. 	Open to Department of Accountancy students; completion of ACCY 201 and ACCY 202 (or equivalent); and consent of department.	0 TO 3 hours	
Spring	2024	ACCY	Atg Measurement & Disclosure	301	Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. 	ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors.	3 hours	
Spring	2024	ACCY	Decision Making for Atg	302	We will develop and apply a framework to better understand the specific types of accounting information managers need to make key operational and strategic decisions. Utilizing business case studies and real-world projects, the course will also develop skills in gathering, visualizing, and statistically analyzing this accounting information to inform these important decisions. 	ACCY 202 or equivalent; BADM 210 or concurrent enrollment or equivalent; and recommend concurrent enrollment in ACCY 301 for Accountancy majors.	3 hours	
Spring	2024	ACCY	Accounting Institutions and Regulation	303	Measurement and reporting of firm's liabilities and shareholders' equity. Topics include current liabilities, contingencies, subsequent events, bonds, leases, pensions, equity issuance and repurchase, dividends, and equity-based compensation. 	ACCY 301 and FIN 221.	3 hours	
Spring	2024	ACCY	Accounting Control Systems	304	Explores an important framework that highlights the vital roles accounting control systems play in shaping and implementing organizational strategy. Components of this framework include internal controls, organizational missions and values, codes of ethics, performance measurement, evaluation, and reward systems. Case studies, class discussions, group exercises, and field research projects emphasize critical reasoning, data analytics, teamwork, and written and oral communication. 	ACCY 301 and ACCY 302.	3 hours	
Spring	2024	ACCY	Principles of Taxation	312	Introduction to the United States federal income tax system with an emphasis on income tax determination and the taxation of property transactions. Topics include the tax environment, tax provisions relevant to businesses, employees and business owners. Projects facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. 	ACCY 202 or equivalent.	3 hours	
Spring	2024	ACCY	Principles of Public Policy	321	Same as ACE 321, BADM 303, and PS 321. See PS 321.		3 hours	
Spring	2024	ACCY	Practical Problems in Atg	398	Course covers the professional standards relating to corporate financial reporting, taxation, auditing and public sector reporting. Serves as a review course for the Uniform Certified Public Accountant (CPA) Examination. Approved for Letter and S/U grading. May be repeated up to 16 hours in separate terms, if topics vary. Credit is not given towards degree requirements. 	Consent of the Department. Intended for students enrolled in the BS in Accountancy, MAS, and MSA programs. Students from other UIUC programs must demonstrate that they have taken courses in financial accounting (beyond introductory level), cost/managerial accounting (beyond introductory level), auditing, and taxation.	0 TO 16 hours	
Spring	2024	ACCY	Assurance and Attestation	405	Conceptual introduction to diverse means by which assurers improve the quality of information used by third parties for contracting purposes, with emphases on the credibility- and relevance-enhancement properties of assurers' services. Topics include the economics of assurance and attestation, and concepts including independence, risk, evidence, and control. Projects facilitate self-discovery of knowledge and development of professional skills and attitudes. 3 undergraduate hours. 3 graduate hours. 	ACCY 304 or consent of department.	3 hours	
Spring	2024	ACCY	Advanced Financial Reporting	410	Current authoritative accounting standards and applications to accounting practice. Topics do not represent the full range of financial reporting issues, but are selected based on relevance of the underlying business transaction, complexity of the topic, consistency of applicable standard with underlying reporting concepts, and transferability of the standard to other accounting issues. 3 undergraduate hours. 3 or 4 graduate hours. Credit is not given toward graduation for both ACCY 410 and ACCY 506 or ACCY 532. 	ACCY 303 or consent of department.	3 OR 4 hours	
Spring	2024	ACCY	Advanced Income Tax Problems	451	An introduction to U.S. federal taxation of business entities including taxable corporations and flow through entities (partnerships, Subchapter S corporations, and limited liability companies). Practical problems facilitate self-discovery of technical tax knowledge and the development of data analysis skills. 3 undergraduate hours. 3 or 4 graduate hours. 	Senior standing and ACCY 312.	3 OR 4 hours	
Spring	2024	ACCY	Senior Research	499	Research and readings course for students majoring in accountancy. May be taken by students in the college honors program in partial fulfillment of the honors requirements. 2 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. 	Cumulative grade-point average of 3.0., honors in the junior year, or consent of department; senior standing.	2 TO 4 hours	
Spring	2024	ACCY	Accounting Measurement, Reporting, and Control	500	A managerial perspective of the nature and role of accounting in organizational measurement, reporting and control processes. 2 or 4 graduate hours. No professional credit. 	Enrollment in a non-accountancy masters program in business or consent of department.	2 OR 4 hours	
Spring	2024	ACCY	Accounting Analysis I	501	Addresses the conceptual framework and financial statements--balance sheet, income statement and the statement of cash flows. It also provides in-depth analysis of accounting issues related to the measurement, recognition and disclosure of current and non-current assets, and revenue recognition. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). 	Enrollment in graduate degree program or consent of department.	2 OR 4 hours	
Spring	2024	ACCY	Accounting Analysis II	502	Measurement and reporting of firm's liabilities and shareholders' equity. Topics include contingencies, subsequent events, bonds, leases, deferred taxes, pensions, equity transactions, and earning per share. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). 	ACCY 501 or equivalent; enrollment in graduate degree program or consent of department.	2 OR 4 hours	
Spring	2024	ACCY	Managerial Accounting	503	Introduction to management accounting principles, as used to facilitate and align internal decisions made by managers and employees. Topics include analytical tools and techniques to address common business problems, cost information systems, budgeting, and strategic performance measurement systems. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). 	Credit or concurrent registration in ACCY 501 or equivalent; enrollment in graduate degree program or consent of department.	2 OR 4 hours	
Spring	2024	ACCY	Advanced Topics in Accounting	506	Covers current authoritative accounting standards and applications to accounting practice. Topics include accounting for business combinations, the preparation of consolidated financial statements, and other advanced financial reporting topics. 4 graduate hours. No professional credit. Credit is not given toward graduation for both ACCY 506 and ACCY 410 or ACCY 532. 	ACCY 501, and credit or concurrent enrollment in ACCY 502.	4 hours	
Spring	2024	ACCY	Taxation of Business Entities	507	This course provides an introduction to the U.S. federal income tax treatment of corporations and pass-through entities, including Subchapter S corporations, partnerships, and limited liability companies. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). Credit is not given for both ACCY 507 and ACCY 451. 	ACCY 505 or equivalent.	2 OR 4 hours	
Spring	2024	ACCY	Financial Reporting Standards	510	Stakeholders' needs for reliable and relevant information about the performance of firms, as well as managers; economic self-interests, influence managers' selection of accounting policies and financial reporting methods. This course selectively surveys both academic research and professional standards to focus on the measurement, classification and disclosure of financial transactions. Cases, class discussion and research projects emphasize independent thinking, group processes, and communication. 4 graduate hours. No professional credit. 	ACCY 410 and enrollment in the BS/MAS in Accountancy program or consent of department.	4 hours	
Spring	2024	ACCY	Data Analytics for Management Accounting	512	Data analytics incorporated into management decision making, including planning, cost management, and management control system design. Focuses on developing your skills of gathering and analyzing data for internal decision making purposes. 4 graduate hours. No professional credit. 	Enrollment in graduate accounting degree program or consent of department.	4 hours	
Spring	2024	ACCY	Auditing & Assurance Standards	515	Role of professional and ethical standards in the conduct of auditing and assurance services and the role of auditing and assurance services in corporate governance and capital markets. This course selectively surveys both academic and professional literature to focus on the conduct of auditing and assurance services. Cases, class discussion, group projects, and data analytics using Tableau emphasize the importance of critical thinking, group processes, and communication for professional accounting practice. Real-world scenarios assist in implementing auditing standards. 4 graduate hours. No professional credit. 	ACCY 405 and enrollment in the BS/MS in Accountancy program or consent of department.	4 hours	
Spring	2024	ACCY	Professional Responsibility and Ethics for Accountants	516	"Covers key principles of accountants' professional responsibility in their jobs, organizations, and careers, and adopts both theoretical and practical perspectives of the role of ethics and morals within the accounting discipline. The course begins with a general overview of these key constructs and principles, including various philosophies from a variety of disciplines and cultures. Next, the course provides a historical perspective of major instances of accounting-related ""failures"" and ""successes"" in the area of professional responsibility and ethics. This historical perspective provides the underlying reasoning for many contemporary codes of conduct, ethics, and professional guidelines. A variety of experiential learning opportunities will help students explore and develop their own perspective on ethics and morals, and how these principles affect their professional roles, responsibilities, and choices. 3 or 4 graduate hours. No professional credit."		3 OR 4 hours	
Spring	2024	ACCY	Financial Statement Analysis and Valuation	517	Examines the tools and techniques of financial statement analysis and company valuation from the perspective of investors and creditors; emphasizes theoretical and empirical properties of financial ratios as well as valuation methods used in practice. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours, if topics vary for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). 	ACCY 410 or concurrent enrollment; or ACCY 500 or equivalent; or ACCY 502 or equivalent; and enrollment in graduate degree program or consent of department.	2 OR 4 hours	
Spring	2024	ACCY	Financial Statement Fraud	518	Introduction to fraud examination with an emphasis on financial statement fraud. The course provides a comprehensive introduction to fraud examination. The topics addressed in the course include the unique characteristics of fraud examinations and a comparison to financial statement audits, the characteristics that should be possessed by fraud examiners, an overview of the fraud examination process, the nature and extent of fraud, an introduction to the taxonomy of financial statement frauds, techniques for evidence collection including interview techniques, Benford's law, and the development of fraud reports. 4 graduate hours. No professional credit. 	Enrollment in graduate accounting degree program or consent of the department. This class is restricted to MAS and MSA students: Accountancy-UIUC.	4 hours	
Spring	2024	ACCY	Multistate Taxation	550	Will examine state and local tax laws prevalent in the United States today. The course will consider the historical progression of state and local taxation, the power of states to tax (and the limitations on that power), and planning strategies for minimizing the impact of state and local taxation. Income taxes are emphasized; however, other taxes such as sales and use taxes and property taxes will be discussed. 2 graduate hours. No professional credit. 	Credit or concurrent enrollment in ACCY 451, ACCY 507, or equivalent or consent of the department. Restricted to students enrolled in a graduate accounting degree program.	2 hours	
Spring	2024	ACCY	Corporate Income Taxation	551	Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving corporations and their shareholders; coverage includes formations, operations, distributions, liquidations, reorganizations, and affiliations. 4 graduate hours. No professional credit. 	ACCY 451, credit or concurrent enrollment in ACCY 556, or equivalent or consent of department.	4 hours	
Spring	2024	ACCY	Partnership Income Taxation	552	Analyzes the tax treatment, problems, planning techniques, and underlying governmental policies involving partnerships and their partners, including Subchapter S corporations and their shareholders. 4 graduate hours. No professional credit. 	ACCY 451, credit or concurrent enrollment in ACCY 556, or equivalent or consent of department.	4 hours	
Spring	2024	ACCY	International Taxation	554	Analyzes the tax treatment, issues, planning techniques and underlying government policies involved in doing business internationally. The course incorporates concepts learned in all of the tax courses as they relate to the impact on cross border outbound transactions (i.e., the taxation of US taxpayers doing business abroad). Topics include the source of income, transfer pricing, controlled foreign corporations (CFCs), Subpart F income, foreign tax credits, Global Intangible Low-Taxed Income (GILTI), Base Erosion and Anti-Abuse Tax (BEAT), and Foreign Derived Intangible Income (FDII). While this course focuses heavily on outbound transactions, some inbound rules (i.e., non-US taxpayers doing business in the United States) will be discussed. 2 or 4 graduate hours. No professional credit. 	Credit or concurrent enrollment in ACCY 451 or equivalent or consent of the department. Restricted to students enrolled in a graduate accounting degree program.	2 OR 4 hours	
Spring	2024	ACCY	Data Analytics Foundations for Accountancy	570	Concepts and foundations underlying data analytics for accounting. Provides fundamental knowledge of how to acquire, organize, synthesize and analyze (possibly large) volumes of data to address questions and problems. After completing this course, students should (1) have a foundational understanding of the techniques underlying data analytics, (2) recognize scenarios and identify appropriate tools for various types of data analysis and (3) use Python and Tableau to perform data analysis. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). 	Enrollment in graduate accounting program or consent of the department.	0 TO 4 hours	
Spring	2024	ACCY	Statistical Analyses for Accountancy	571	Fundamental knowledge of how to perform statistical analyses useful for leveraging accounting information to solve business problems. After completing this course, students should (1) have a foundational understanding of the statistical analyses underlying data analytics, (2) recognize scenarios and identify appropriate statistical tools for various types of data analysis and (3) use common computer-based tools to perform statistical analyses. 2 or 4 graduate hours. No professional credit. May be repeated up to 4 hours for iMSA and online students that complete the first part of the course content in a 2-hour section (part A) and then complete the remainder of the class in a second 2-hour section (part B). 	Enrollment in graduate accounting program or consent of the department.	0 TO 4 hours	
Spring	2024	ACCY	Risk Management and Innovation	574	Decision making and analytic approaches to help organizations navigate disruptive changes in practices, technology, regulation, and culture to serve stakeholders (customers, employees, investors, the public). Course content focuses on identifying and quantifying risks, and balancing between achieving consistent, measurable outcomes and delivering stakeholder-driven objectives. Cases and experiential learning will emphasize developing tools to translate data into insights, tie these insights into managing stakeholder interests, and communicating these insights to decision makers. 4 graduate hours. No professional credit. 	Enrollment in MAS or MSA program.	4 hours	
Spring	2024	ACCY	Data Analytics Applications in Accountancy	575	Develops knowledge regarding the role, methods, and implications of business and data analytics in accounting. Building on prior coursework on the fundamentals of statistical analysis and business/data analytics, this course provides the opportunity to apply related theoretical and practical principles to a variety of accounting scenarios, including audit, tax, fraud identification and detection, financial reporting, and managerial accounting. 4 graduate hours. No professional credit. 	ACCY 570.	4 hours	
Spring	2024	ACCY	Data Preparation for Accounting	576	This course focuses on developing Python skills for assembling business data, taught within the context of multiple accounting settings (e.g., financial statement data, stock data, loan data, point-of-sale data, etc.). 2 graduate hours. No professional credit.		2 hours	
Spring	2024	ACCY	Machine Learning for Accounting	577	This course introduces machine learning algorithms and their applications in accounting problems. It covers classification, regression, clustering, text analysis, time series analysis. It also discusses feature importance and model optimization. 2 graduate hours. No professional credit. 	ACCY 576.	2 hours	
Spring	2024	ACCY	Accounting Analytics Applications	578	Develops students’ knowledge regarding the role, methods, and implications of business and data analytics in accounting via real-world applications of fundamental and advanced analytics principles. Application opportunities span multiple areas of accounting, including audit, fraud identification and detection, financial accounting, and managerial accounting. After engaging in this course, students should (1) have a foundational understanding of the role of business / data analytics in accounting and (2) be able to apply this knowledge to real-world clients, business decisions, etc. 1 graduate hour. No professional credit. May be repeated in the same or separate semesters to a maximum of 4 hours. 	Some sections require the completion of ACCY 576 (or equivalent), and are denoted as requiring this prerequisite.	1 hours	
Spring	2024	ACCY	Adv Prof Internship in ACCY	590	A formalized learning experience in combination with practice of accounting while engaged in an internship with a public accounting firm, business, or other off-campus organization; prior approval of learning plan and a summary report of learning experience required. Approved for letter and S/U grading. May be repeated to a maximum of 4 hours. 	Open only to accountancy majors enrolled in the department's integrated bachelor/master program or students with graduate standing in accountancy; completion of 300-level accountancy courses appropriate to internship learning plan; and consent of department.	0 TO 4 hours	
Spring	2024	ACCY	Special Research Problems	593	Individual investigations or research projects selected by the students, subject to approval by the graduate adviser and the executive officer of the Department. May be repeated in the same or separate terms. 	Enrollment in graduate accounting degree program or consent of department.	1 TO 8 hours	
Spring	2024	ACCY	Doctoral Research Seminar	594	Seminars in various accounting areas designed to enhance the research abilities of doctoral students and to assist them in preparing research proposals; these include Behavioral Dimensions, Public Sector, Tax, Auditing, Managerial, and others announced in the Class Schedule. May be repeated. 	Credit or concurrent registration in ACCY 592 or consent of department.	4 hours	
Spring	2024	ACCY	Thesis Research	599	Individual direction and guidance in writing theses; seminar discussion of progress made. Approved for S/U grading only. May be repeated.		0 TO 16 hours	
Spring	2024	ACE	Introduction to Applied Microeconomics	100	Provides students an introduction to microeconomics by examining such topics as: individual and household decision-making regarding how to spend income and how many hours to work; decision-making by firms about production quantities, how many workers to hire, and what price to charge to maximize profits; the well-being of consumers in competitive markets compared to oligopolies and monopolies; and the role of government when markets fail (e.g., environmental, anti-trust, labor market issues, etc.). Credit is not given toward graduation for ACE 100 if credit for ECON 102 has been earned.		4 hours	Social & Beh Sci - Soc Sci
Spring	2024	ACE	Microcomputer Applications	161	Instruction and practice in solving data-related problems with microcomputers and general purpose software packages.		3 hours	
Spring	2024	ACE	Undergraduate Open Seminar	199	Experimental course on a special topic in agricultural and consumer economics. Topic may not be repeated except in accordance with the Code. Approved for Letter and S/U grading. May be repeated if topics vary, up to 5 hours in the same semester, to a maximum of 12 hours.		0 TO 5 hours	
Spring	2024	ACE	Environmental Economics	210	Applies economic tools to analyze environmental problems and public policy formation. We will study human behavior to understand why environmental problems occur and our choice of policy tools to address problems. We will explore and critique current environmental policies in the U.S. and globally in a rigorous and constructive manner and the role of private-sector agents in solving environmental problems. Through this course, you will build your capacity for critical thinking and problem-solving. Same as ECON 210, ENVS 210, NRES 210, and UP 210.		3 hours	Social & Beh Sci - Soc Sci
Spring	2024	ACE	Negotiation	221	This course is an introduction to negotiation, with an emphasis on practical and useful knowledge that students can use throughout their financial lives, including negotiating job offers, auto purchases and sales, and residential purchases and sales. Credit is not given for ACE 221 if credit for ACE 199 NPS has been earned.		2 hours	
Spring	2024	ACE	Food and Agribusiness Mgt	231	Overview of management in the food and agribusiness sector. Major topics covered include: introduction to the food and agribusiness sector; the environment of the firm; fundamentals, structural design, and change in organizations; leadership, motivation, communication; and planning and control. Coverage is at the introductory level with a focus on textbook material and current issues.		3 hours	
Spring	2024	ACE	Farm Management	232	Economic principles are applied to the management of farms using budgeting system analysis, record analysis, financial management, and lease analysis. Problems related to resource appraisal and business organization are also addressed.		3 hours	
Spring	2024	ACE	Personal Financial Planning	240	Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning.		3 hours	
Spring	2024	ACE	The World Food Economy	251	Examination of global food production, consumption, and trade; problems of hunger and population; the role of agricultural development, trade, and aid in relieving hunger. 	ACE 100 or ECON 102 or consent of instructor.	3 hours	Social & Beh Sci - Soc Sci,Cultural Studies - Non-West
Spring	2024	ACE	Economic Systems in Africa	254	Examines systems of production and exchange in Africa. Through lectures, discussions, readings and films participants will study the ways African people interact in local markets and the impact of national and international markets on their welfare. Same as AFST 254.		3 hours	Social & Beh Sci - Soc Sci,Cultural Studies - Non-West
